role,description,required_skills
Facilities Managers,"Plan, direct, or coordinate operations and functionalities of facilities and buildings. May include surrounding grounds or multiple facilities of an organization's campus.","ADP Enterprise HR, ADP Workforce Now, Active Listening, Adobe Acrobat, Adobe PageMaker, Autodesk AutoCAD, Autodesk Revit, Blackbaud The Raiser's Edge, Coordination, Critical Thinking, Delphi Technology, Google Docs, Google Workspace software, Intuit QuickBooks, Judgment and Decision Making, Management of Personnel Resources, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft SharePoint, Microsoft Visio, Microsoft Word, Monitoring, Oracle PeopleSoft, Oracle Primavera Enterprise Project Portfolio Management, Reading Comprehension, SAP software, Social Perceptiveness, Speaking, Teradata Database, Yardi software"
Security Managers,"Direct an organization's security functions, including physical security and safety of employees and facilities.","Active Learning, Active Listening, Alarm system software, Amazon Web Services AWS software, Complex Problem Solving, Coordination, Corel WordPerfect Office Suite, Critical Thinking, Emergency notification system software, Facebook, FieldSoft AIMSonScene, Firewall software, Graphics software, Human resources management system HRMS, Incident command system ICS software, Inventory tracking software, Judgment and Decision Making, Maintenance management software, Management of Financial Resources, Management of Personnel Resources, Mapping software, McAfee, Microsoft Access, Microsoft Azure software, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft Visio, Microsoft Word, Monitoring, Oracle PeopleSoft, Reading Comprehension, SAP software, Social Perceptiveness, Speaking, Time Management, Writing"
Computer and Information Systems Managers,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.","Active Listening, Amazon Web Services AWS software, Apache Cassandra, Apache Hadoop, Apache Maven, Apache Tomcat, Apple macOS, Atlassian JIRA, C, C#, C++, Complex Problem Solving, Coordination, Critical Thinking, Eclipse IDE, Extensible markup language XML, Google Analytics, Hypertext markup language HTML, IBM SPSS Statistics, JavaScript, Judgment and Decision Making, Linux, Management of Personnel Resources, Microsoft .NET Framework, Microsoft Access, Microsoft Active Server Pages ASP, Microsoft Azure software, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Monitoring, Reading Comprehension, Social Perceptiveness, Speaking, Systems Analysis, Systems Evaluation, Writing"
Financial Managers,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.","Active Learning, Active Listening, Adobe Acrobat, Alteryx software, Complex Problem Solving, Coordination, Critical Thinking, IBM SPSS Statistics, Intuit QuickBooks, Judgment and Decision Making, Management of Personnel Resources, Marketo Marketing Automation, Mathematics, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft SQL Server, Microsoft SharePoint, Microsoft Visio, Microsoft Visual Basic, Microsoft Visual Basic for Applications VBA, Microsoft Windows, Microsoft Word, Monitoring, Oracle Database, Oracle PeopleSoft, Oracle Primavera Enterprise Project Portfolio Management, R, Reading Comprehension, SAP software, SAS, Salesforce software, Service Orientation, Social Perceptiveness, Speaking, Time Management, Writing"
Treasurers and Controllers,"Direct financial activities, such as planning, procurement, and investments for all or part of an organization.","ADERANT Expert Back Office, Powered by Keystone, ADP Workforce Now, ADP software, Active Learning, Active Listening, Automatic Data Processing PC payroll for windows PCPW, Blackbaud The Raiser's Edge, Complex Problem Solving, Corel QuattroPro, Critical Thinking, Deltek professional services software, Exact Software Macola ES, FileMaker Pro, Fund accounting software, Hyperion Enterprise, Hypertext markup language HTML, Intuit QuickBooks, Judgment and Decision Making, Management of Financial Resources, Mathematics, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft Word, Monitoring, Oracle PeopleSoft, Oracle Primavera Enterprise Project Portfolio Management, Reading Comprehension, SAP software, Speaking, Structured query language SQL, Systems Evaluation, Writing, Yardi software"
Investment Fund Managers,"Plan, direct, or coordinate investment strategy or operations for a large pool of liquid assets supplied by institutional investors or individual investors.","Active Learning, Active Listening, Autodesk AutoCAD Blue Sky, Complex Problem Solving, Critical Thinking, Financial accounting software, Judgment and Decision Making, Microsoft Access, Microsoft Excel, Microsoft MapPoint, Microsoft Office software, Microsoft Outlook, Microsoft Power BI, Microsoft PowerPoint, Microsoft Project, Microsoft Visio, Microsoft Word, Monitoring, Oracle Hyperion, Oracle Hyperion Planning, Portfolio analysis software, ReadSoft, Reading Comprehension, Risk analysis software, SAP software, SAS, Speaking, Statistical analysis software, Structured query language SQL, SunGard Financial Systems AddVantage, Tableau, Web browser software, Writing"
Industrial Production Managers,"Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications.","ABB Optimize IT Predict & Control, AVEVA InTouch HMI, Active Learning, Active Listening, Adobe Acrobat, Adobe After Effects, Adobe InDesign, Adobe Photoshop, Apple Final Cut Pro, Autodesk AutoCAD, Citect IIM, CitectSCADA Reports, Clockware, Complex Problem Solving, Computer integrated manufacturing CIM software, Computer integrated manufacturing CIM time manager software, Computer integrated manufacturing CIM warehouse shipping manager software, Computerized maintenance management system CMMS, Coordination, Critical Thinking, Database software, Intuit QuickBooks, Judgment and Decision Making, Learning Strategies, Management of Personnel Resources, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft Word, Monitoring, Oracle PeopleSoft, Reading Comprehension, SAP software, Social Perceptiveness, Speaking, Systems Analysis, Time Management"
Quality Control Systems Managers,"Plan, direct, or coordinate quality assurance programs. Formulate quality control policies and control quality of laboratory and production efforts.","ASI DATAMYTE GageMetrics, ASI DATAMYTE QDA, ASIDATAMYTE DataMetrics, Abbott Informatics STARLIMS:LIMS, Active Learning, Active Listening, Adobe Acrobat, Atlassian JIRA, CAMA Software Quality Collaboration By Design QCBD, CEBOS MQ1 software, Complex Problem Solving, Computing Solutions LabSoft LIMS, Coordination, Core Informatics Laboratory Information Management System LIMS, Critical Thinking, Extensible markup language XML, Judgment and Decision Making, Linux, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft SQL Server, Microsoft Visio, Microsoft Word, Monitoring, Oracle Java, Quality Control Analysis, Reading Comprehension, SAP software, Selenium, Speaking, Structured query language SQL, Systems Analysis, Systems Evaluation, Time Management, Writing"
Geothermal Production Managers,Manage operations at geothermal power generation facilities. Maintain and monitor geothermal plant equipment for efficient and safe plant operations.,"Active Learning, Active Listening, Complex Problem Solving, Coordination, Critical Thinking, Data logging software, Infostat RIMBase, Judgment and Decision Making, Management of Personnel Resources, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft Word, Monitoring, Personnel scheduling software, Reading Comprehension, Social Perceptiveness, Speaking, Time Management, Writing"
Biofuels Production Managers,"Manage biofuels production and plant operations. Collect and process information on plant production and performance, diagnose problems, and design corrective procedures.","Active Listening, Adobe Acrobat, Autodesk AutoCAD, Computerized maintenance management system CMMS, Coordination, Critical Thinking, Distributed control system DCS, Employee scheduling software, Human machine interface HMI software, Inventory control software, Judgment and Decision Making, Management of Personnel Resources, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, Monitoring, Reading Comprehension, Speaking, Time Management, Web browser software, Writing"
Biomass Power Plant Managers,"Manage operations at biomass power generation facilities. Direct work activities at plant, including supervision of operations and maintenance staff.","Active Listening, Complex Problem Solving, Computerized maintenance management system CMMS, Coordination, Critical Thinking, Distributed control system DCS, Employee scheduling software, Inventory control software, Judgment and Decision Making, Management of Personnel Resources, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, Monitoring, Reading Comprehension, Speaking, Time Management"
Hydroelectric Production Managers,Manage operations at hydroelectric power generation facilities. Maintain and monitor hydroelectric plant equipment for efficient and safe plant operations.,"Active Learning, Active Listening, Apache Kafka, Complex Problem Solving, Computerized maintenance management system CMMS, Coordination, Critical Thinking, Distributed control system DCS, Email software, Judgment and Decision Making, Learning Strategies, Management of Personnel Resources, Microsoft Access, Microsoft Active Server Pages ASP, Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Microsoft Project, Microsoft SQL Server, Microsoft Word, Monitoring, Oracle Database, Personnel scheduling software, Reading Comprehension, SAP software, Speaking, Structure query language SQL, Supervisory control and data acquisition SCADA software, Time Management, VMware, Writing"
Purchasing Managers,"Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services. Includes wholesale or retail trade merchandising managers and procurement managers.","Active Listening, Automated purchase order software, Bottomline Technologies Bottomline Sprinter Purchasing Manager, Bowen & Groves M1 ERP, Complex Problem Solving, Coordination, Corel Paradox, Critical Thinking, Database software, Epicor Vantage ERP, IBM Lotus Notes, Infor Lawson Supply Chain Management, Judgment and Decision Making, Management of Personnel Resources, Materials requirement planning MRP software, Microsoft Access, Microsoft Dynamics, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft SharePoint, Microsoft Visio, Microsoft Word, Monitoring, Negotiation, NetSuite ERP, Oracle Database, Oracle JD Edwards EnterpriseOne, Oracle PeopleSoft, Oracle PeopleSoft Enterprise Financial Management Solutions, Persuasion, Reading Comprehension, SAP software, Service Orientation, Social Perceptiveness, Speaking, Systems Analysis, Time Management, Writing"
"Transportation, Storage, and Distribution Managers","Plan, direct, or coordinate transportation, storage, or distribution activities in accordance with organizational policies and applicable government laws or regulations. Includes logistics managers.","3PL Central, ABOL Manifest Systems, ALK Technologies FleetSuite, ALK Technologies PC*Miler, Active Learning, Active Listening, Airline global distribution systems GDS software, Aljex Inventory, Amber Road, Argos Software ABECAS Insight FMS, Autodesk AutoCAD Civil 3D, Automated expense reporting system software, Bentley MicroStation, Bentley Transportation Data Manager, Cadre Technologies Accuplus Integrated Distribution Logistics System, Complex Problem Solving, Coordination, Critical Thinking, Instructing, Judgment and Decision Making, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft SQL Server, Microsoft Visio, Microsoft Word, Monitoring, Negotiation, Oracle Primavera Enterprise Project Portfolio Management, Persuasion, Reading Comprehension, SAP software, Speaking, Structured query language SQL, Systems Analysis, Systems Evaluation, Time Management, Writing"
