role,description,required_skills
"Environmental Scientists and Specialists, Including Health","Conduct research or perform investigation for the purpose of identifying, abating, or eliminating sources of pollutants or hazards that affect either the environment or public health. Using knowledge of various scientific disciplines, may collect, synthesize, study, report, and recommend action based on data derived from measurements or observations of air, food, soil, water, and other sources.","ADMS pollution modeling software, Active Learning, Active Listening, Adobe Acrobat, Adobe Illustrator, Autodesk AutoCAD, Bentley MicroStation, C++, CAP88-PC, CERC EMIT, Chemical management tracking software, Chemicals and Irrigation CANDI, Compass software, Complex Problem Solving, Coordination, Corel CorelDraw Graphics Suite, Critical Thinking, Database software, ESRI ArcGIS software, IBM SPSS Statistics, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft Visual Basic, Microsoft Word, Monitoring, Reading Comprehension, SAP software, Science, Speaking, Structured query language SQL, Writing"
Climate Change Policy Analysts,"Research and analyze policy developments related to climate change. Make climate-related recommendations for actions such as legislation, awareness campaigns, or fundraising approaches.","Active Learning, Active Listening, C++, Community Climate System Model CCSM, Complex Problem Solving, Critical Thinking, ESRI ArcGIS software, Ferret, Formula translation/translator FORTRAN, Geographic information system GIS systems, Grid analysis and display system GrADS, Interface definition language IDL, Linux, Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Microsoft Word, NCAR Command Language NCL, North American Regional Climate Change Assessment Program NARCCAP data tables, Perl, Python, R, Reading Comprehension, SAS, Speaking, Sun Microsystems Java, Systems Analysis, Systems Evaluation, The MathWorks MATLAB, UNIX, Unidata Integrated Data Viewer IDV, Unidata Network common data form NetCDF, Web browser software, Writing"
Environmental Restoration Planners,"Collaborate with field and biology staff to oversee the implementation of restoration projects and to develop new products. Process and synthesize complex scientific data into practical strategies for restoration, monitoring or management.","Active Learning, Active Listening, Adobe Acrobat, Adobe Creative Cloud software, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Autodesk AutoCAD, Autodesk AutoCAD Civil 3D, Complex Problem Solving, Critical Thinking, ESRI ArcGIS software, ESRI ArcMap, Email software, Geographic information system GIS software, Geographic information system GIS systems, Global positioning system GPS software, HEC-RAS, IWR-PLAN, Judgment and Decision Making, Microsoft Access, Microsoft Dynamics, Microsoft Dynamics CRM, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft SharePoint, Microsoft Word, Monitoring, Reading Comprehension, Science, Speaking, Systems Analysis, Systems Evaluation, Writing"
Industrial Ecologists,Apply principles and processes of natural ecosystems to develop models for efficient industrial systems. Use knowledge from the physical and social sciences to maximize effective use of natural resources in the production and use of goods and services. Examine societal issues and their relationship with both technical systems and the environment.,"Active Learning, Active Listening, Adobe Acrobat, Adobe Illustrator, Adobe Photoshop, Apache Hadoop, Atlassian JIRA, Autodesk AutoCAD, C#, Complex Problem Solving, Critical Thinking, ESRI ArcGIS software, Git, Judgment and Decision Making, Linux, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Microsoft SQL Server, Microsoft SharePoint, Microsoft Visio, Microsoft Visual Studio, Microsoft Windows, NoSQL, Oracle Database, Oracle Java, Python, Reading Comprehension, SAP software, Salesforce software, Science, Speaking, Systems Analysis, Writing"
"Geoscientists, Except Hydrologists and Geographers","Study the composition, structure, and other physical aspects of the Earth. May use geological, physics, and mathematics knowledge in exploration for oil, gas, minerals, or underground water; or in waste disposal, land reclamation, or other environmental problems. May study the Earth's internal composition, atmospheres, and oceans, and its magnetic, electrical, and gravitational forces. Includes mineralogists, paleontologists, stratigraphers, geodesists, and seismologists.","ACD Systems Canvas, Active Listening, Adobe Acrobat, Adobe Photoshop, Alara CRystalView, Aquifer test software, Atoll GeoCAD, Autodesk AutoCAD, BOSS Didger, Bentley Systems gINT, Bilko, ChemStat, Complex Problem Solving, Critical Thinking, ESRI ArcGIS software, Git, Judgment and Decision Making, Microsoft Access, Microsoft Active Server Pages ASP, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft Word, MySQL, Python, Reading Comprehension, SAS, Science, Speaking, The MathWorks MATLAB, Writing"
Hydrologists,"Research the distribution, circulation, and physical properties of underground and surface waters; and study the form and intensity of precipitation and its rate of infiltration into the soil, movement through the earth, and return to the ocean and atmosphere.","Active Learning, Active Listening, Advanced Logic Technology WellCAD, Amtec Engineering Tecplot, Argus ONE Open Numerical Environments, Autodesk AutoCAD, Autodesk AutoCAD Civil 3D, Autodesk AutoCAD Map 3D, Autodesk Land Desktop, BOSS International Visual Groundwater, Bentley MicroStation, Bentley Systems gINT, Biodegration flow and transport modeling software, C++, Carlson SurvCADD, ChemStat, Complex Problem Solving, Critical Thinking, ESRI ArcGIS software, Judgment and Decision Making, Mathematics, Microsoft Access, Microsoft Active Server Pages ASP, Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Microsoft Visual Basic, Microsoft Word, Monitoring, Python, R, Reading Comprehension, Science, Speaking, The MathWorks MATLAB, Writing"
"Physical Scientists, All Other",All physical scientists not listed separately.,
Remote Sensing Scientists and Technologists,"Apply remote sensing principles and methods to analyze data and solve problems in areas such as natural resource management, urban planning, or homeland security. May develop new sensor systems, analytical techniques, or new applications for existing systems.","Active Listening, Adobe Creative Cloud software, Amazon DynamoDB, Amazon Elastic Compute Cloud EC2, Amazon Redshift, Amazon Web Services AWS CloudFormation, Amazon Web Services AWS software, Ansible software, Apache Hadoop, Apache Hive, Apache Kafka, Atlassian JIRA, Bash, C, C#, C++, Complex Problem Solving, Critical Thinking, Docker, ESRI ArcGIS software, Elasticsearch, Epic Systems, Extensible markup language XML, Git, GitHub, Go, JavaScript, JavaScript Object Notation JSON, Judgment and Decision Making, Mathematics, Reading Comprehension, Science, Speaking, Systems Analysis, Systems Evaluation, Writing"
Economists,"Conduct research, prepare reports, or formulate plans to address economic problems related to the production and distribution of goods and services or monetary and fiscal policy. May collect and process economic and statistical data using sampling techniques and econometric methods.","Active Learning, Active Listening, Aptech Systems GAUSS, C++, Complex Problem Solving, Critical Thinking, IBM SPSS Statistics, Judgment and Decision Making, Mathematics, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft Power BI, Microsoft PowerPoint, Microsoft SQL Server, Microsoft Visual Basic, Microsoft Visual Basic for Applications VBA, Microsoft Word, Mozilla Firefox, MySQL, Oracle Java, Python, R, Reading Comprehension, SAS, Speaking, Structured query language SQL, Tableau, Teradata Database, The MathWorks MATLAB, UNIX, UNIX Shell, Writing"
Environmental Economists,"Conduct economic analysis related to environmental protection and use of the natural environment, such as water, air, land, and renewable energy resources. Evaluate and quantify benefits, costs, incentives, and impacts of alternative options using economic principles and statistical techniques.","Active Learning, Active Listening, Aptech Systems GAUSS, C, C#, C++, Camfit Data Limited Microfit, Complex Problem Solving, Critical Thinking, ESRI ArcGIS software, Econometric Software LIMDEP, Estima Regression Analysis of Time Series RATS, Formula translation/translator FORTRAN, IBM SPSS Statistics, Judgment and Decision Making, Mathematics, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft SQL Server, Microsoft Visual Basic, Microsoft Visual Basic for Applications VBA, Microsoft Visual Studio, Microsoft Word, Monitoring, MySQL, Python, Reading Comprehension, SAS, Speaking, Tableau, The MathWorks MATLAB, Writing"
Survey Researchers,"Plan, develop, or conduct surveys. May analyze and interpret the meaning of survey data, determine survey objectives, or suggest or test question wording. Includes social scientists who primarily design questionnaires or supervise survey teams.","Acarda CallAssist, Acarda ForbiddenCalls, Active Learning, Active Listening, Adobe ColdFusion, C++, Complex Problem Solving, Critical Thinking, Extensible markup language XML, IBM SPSS Statistics, JavaScript, Judgment and Decision Making, Mathematics, Microsoft Access, Microsoft Active Server Pages ASP, Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Microsoft Project, Microsoft Teams, Microsoft Word, Oracle Java, Oracle PeopleSoft, Perl, Python, R, Reading Comprehension, SAS, Speaking, Structured query language SQL, Tableau, The MathWorks MATLAB, Writing, Zoom"
Industrial-Organizational Psychologists,"Apply principles of psychology to human resources, administration, management, sales, and marketing problems. Activities may include policy planning; employee testing and selection, training, and development; and organizational development and analysis. May work with management to organize the work setting to improve worker productivity.","Active Learning, Active Listening, Adobe Acrobat, Assessment Systems Corporation XCALIBRE, Complex Problem Solving, Coordination, Critical Thinking, Google Sheets, Human resource information system (HRIS), Hypertext markup language HTML, IBM SPSS Statistics, Instructing, Judgment and Decision Making, Learning Strategies, Learning management system LMS, Mathematics, Mentimeter, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft Visio, Microsoft Word, Monitoring, Muthen & Muthen Mplus, Operations Analysis, Oracle PeopleSoft, Padlet, Persuasion, Psychometric testing software, Reading Comprehension, SAS, Science, Scientific Software International BILOG-MG, Scientific Software International HLM, Scientific Software International LISREL, Scientific Software International MULTILOG, Social Perceptiveness, Speaking, Systems Analysis, Systems Evaluation, Time Management, Writing"
Clinical and Counseling Psychologists,"Assess, diagnose, and treat mental and emotional disorders of individuals through observation, interview, and psychological tests. Help individuals with distress or maladjustment understand their problems through their knowledge of case history, interviews with patients, and theory. Provide individual or group counseling services to assist individuals in achieving more effective personal, social, educational, and vocational development and adjustment. May design behavior modification programs and consult with medical personnel regarding the best treatment for patients.","Active Learning, Active Listening, Addison Health Systems WritePad EHR, Anasazi Software Client Data System, Athena Software Penelope Case Management, B Sharp Technologies B Care, BRB Software HorizonMIS, BlackHawk Canyon Publishers PracticianWorks, Blueberry Harbor Software Clinical Record Keeper, Bluewater Management Systems BMCASE, Clinivate Clinitrak, Complex Problem Solving, Comprehensive Affect Testing System CATS, Coordination, Core Solutions Care Enterprise, Critical Thinking, DocuTrac QuicDoc, Fagerman Technologies MedLook, Google Docs, Google Meet, Google Sheets, Health Care Software HCS INTERACTANT, Judgment and Decision Making, Learning Strategies, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Teams, Microsoft Word, Monitoring, Persuasion, Reading Comprehension, Service Orientation, Social Perceptiveness, Speaking, Writing, Zoom, eClinicalWorks EHR software"
School Psychologists,"Diagnose and implement individual or schoolwide interventions or strategies to address educational, behavioral, or developmental issues that adversely impact educational functioning in a school. May address student learning and behavioral problems and counsel students or families. May design and implement performance plans, and evaluate performance. May consult with other school-based personnel.","Active Learning, Active Listening, Centris Group IEP Direct, Centris Group RTIm Direct, Chalkware Education Solutions IEPPro, Complex Problem Solving, Coordination, Critical Thinking, Email software, Ewing Solutions QuickWriter, Global Education Technologies EXCENT, Google Meet, Instructional software, Judgment and Decision Making, Learning Strategies, MediaNet Solutions e-IEP PRO, Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Microsoft Word, Monitoring, Oasys structural design and analysis software, Persuasion, PowerSchool Group PowerSchool SIS, Psychsoft !Observe, Reading Comprehension, Service Orientation, Smart Solutions IEP Anywhere, Social Perceptiveness, SpED Forms, Speaking, Spectrum K12 School Solutions Encore, SunGard Pentamation IEPplus, Technical Perspectives CLASS IEP Program, Test scoring software, Testing software, Vision Management Consulting IEP PlaNET, Writing, Zoom"
"Psychologists, All Other",All psychologists not listed separately.,
Neuropsychologists,"Apply theories and principles of neuropsychology to evaluate and diagnose disorders of higher cerebral functioning, often in research and medical settings. Study the human brain and the effect of physiological states on human cognition and behavior. May formulate and administer programs of treatment.","Active Learning, Active Listening, Automated Neuropsychological Metric Assessments Battery, Behavioral Assessment and Research System BARS, BrainMetric The Category Test, BrainTrain Captain's Log, CogniSyst Computerized Assessment of Response Bias CARB, Complex Problem Solving, Conners' Continuous Performance Test II, Critical Thinking, Database software, Email software, IBM SPSS Statistics, Interactive psychological evaluation software, Judgment and Decision Making, Learning Strategies, MicroCog Assessment of Cognitive Functioning, Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Microsoft Word, Monitoring, Noldus Information Technology The Observer XT, Operational Data Store ODS software, Patient electronic medical record EMR software, Psychological testing software, Reading Comprehension, Scheduling software, Science, Service Orientation, Social Perceptiveness, Speaking, Statistical software, The Tova Company Test of Variables of Attention, Web browser software, Writing"
Clinical Neuropsychologists,"Assess and diagnose patients with neurobehavioral problems related to acquired or developmental disorders of the nervous system, such as neurodegenerative disorders, traumatic brain injury, seizure disorders, and learning disabilities. Recommend treatment after diagnosis, such as therapy, medication, or surgery. Assist with evaluation before and after neurosurgical procedures, such as deep brain stimulation.","Active Learning, Active Listening, Automated Neuropsychological Metric Assessments Battery, Behavioral Assessment and Research System BARS, BrainMetric The Category Test, BrainTrain Captain's Log, CogniSyst Computerized Assessment of Response Bias CARB, Complex Problem Solving, Conners' Continuous Performance Test II, Coordination, Critical Thinking, Database software, Email software, IBM SPSS Statistics, Interactive psychological evaluation software, Judgment and Decision Making, Learning Strategies, MicroCog Assessment of Cognitive Functioning, Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Microsoft Word, Monitoring, Noldus Information Technology The Observer XT, Patient electronic medical record EMR software, Psychological testing software, Reading Comprehension, Scheduling software, Service Orientation, Social Perceptiveness, Speaking, Statistical software, The Tova Company Test of Variables of Attention, Web browser software, Writing"
Sociologists,"Study human society and social behavior by examining the groups and social institutions that people form, as well as various social, religious, political, and business organizations. May study the behavior and interaction of groups, trace their origin and growth, and analyze the influence of group activities on individual members.","ATLAS.ti, Active Learning, Active Listening, Adobe Acrobat, Adobe Dreamweaver, Adobe Photoshop, Circle Systems Stat/Transfer, Complex Problem Solving, Critical Thinking, Data visualization software, Database management system DBMS, ESRI ArcGIS software, Email software, Facebook, Fund accounting software, IBM SPSS Statistics, Instructing, Judgment and Decision Making, Learning Strategies, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft Visio, Microsoft Windows, Microsoft Word, Monitoring, R, Reading Comprehension, SAP software, SAS, Salesforce software, Social Perceptiveness, Speaking, Writing"
Urban and Regional Planners,"Develop comprehensive plans and programs for use of land and physical facilities of jurisdictions, such as towns, cities, counties, and metropolitan areas.","3D urban simulation modeling software, Active Listening, Adobe Acrobat, Adobe Creative Cloud software, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Autodesk AutoCAD, Bentley MicroStation, Complex Problem Solving, Critical Thinking, Dassault Systemes SolidWorks, ESRI ArcGIS software, Extensible markup language XML, Hypertext markup language HTML, Judgment and Decision Making, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft SharePoint, Microsoft Word, Oracle Database, Oracle Java, Reading Comprehension, SAP software, Social Perceptiveness, Speaking, Structured query language SQL, Systems Analysis, Systems Evaluation, Trimble SketchUp Pro, Writing"
Anthropologists and Archeologists,"Study the origin, development, and behavior of human beings. May study the way of life, language, or physical characteristics of people in various parts of the world. May engage in systematic recovery and examination of material evidence, such as tools or pottery remaining from past human cultures, in order to determine the history, customs, and living habits of earlier civilizations.","Active Learning, Active Listening, Adobe Acrobat, Adobe Dreamweaver, Adobe Illustrator, Adobe InDesign, Adobe PageMaker, Adobe Photoshop, Age progression software, Apple Final Cut Express, Apple iMovie, Autodesk AutoCAD, C++, Complex Problem Solving, Critical Thinking, ESRI ArcGIS software, Facebook, IBM SPSS Statistics, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft SharePoint, Microsoft Windows, Microsoft Word, Monitoring, Reading Comprehension, SAS, Speaking, Structured query language SQL, The MathWorks MATLAB, Writing"
Geographers,"Study the nature and use of areas of the Earth's surface, relating and interpreting interactions of physical and cultural phenomena. Conduct research on physical aspects of a region, including land forms, climates, soils, plants, and animals, and conduct research on the spatial implications of human activities within a given area, including social characteristics, economic activities, and political organization, as well as researching interdependence between regions at scales ranging from local to global.","ACD Systems Canvas, Active Learning, Active Listening, Adobe Dreamweaver, Adobe Photoshop, Autodesk AutoCAD, Caliper Maptitude, Clark Labs IDRISI Andes, Complex Problem Solving, Corel CorelDraw Graphics Suite, Critical Thinking, ESRI ArcGIS software, ESRI ArcIMS, ESRI ArcInfo, ESRI ArcView, Geographic information system GIS software, Geographic information system GIS systems, Geographic resources analysis support system GRASS, IBM SPSS Statistics, Judgment and Decision Making, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, Python, R, Reading Comprehension, SAS, Speaking, Structured query language SQL, The MathWorks MATLAB, Writing"
Historians,"Research, analyze, record, and interpret the past as recorded in sources, such as government and institutional records, newspapers and other periodicals, photographs, interviews, films, electronic media, and unpublished manuscripts, such as personal diaries and letters.","Active Learning, Active Listening, Adobe Acrobat, Adobe Dreamweaver, Adobe InDesign, Adobe Photoshop, Archival databases, ArchiveGrid, Archives Wiki, Audio editing software, Corel WordPerfect Office Suite, Critical Thinking, Database management systems, Digital image collections, Digital mapping software, ESRI ArcGIS software, Email software, Extensible markup language XML, Geographic information system GIS software, IBM SPSS Statistics, Microsoft Access, Microsoft Active Server Pages ASP, Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Microsoft SharePoint, Microsoft Word, Reading Comprehension, Speaking, Structured query language SQL, Writing"
Political Scientists,"Study the origin, development, and operation of political systems. May study topics, such as public opinion, political decisionmaking, and ideology. May analyze the structure and operation of governments, as well as various political entities. May conduct public opinion surveys, analyze election results, or analyze public documents.","Active Learning, Active Listening, Adobe Acrobat, Bare Bones Software BBEdit, CQ Press Political Reference Suite, Complex Problem Solving, Critical Thinking, Data visualization software, DataMystic TextPipe Pro, EBSCO Publishing Academic Search Premier, EBSCO Publishing Political Science Complete, Email software, Europa World Plus, FedStats, IBM SPSS Statistics, Instructing, Judgment and Decision Making, Learning Strategies, Microsoft Access, Microsoft Active Server Pages ASP, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft SharePoint, Microsoft Visio, Microsoft Word, Python, R, Reading Comprehension, SAP software, SAS, Social Perceptiveness, Speaking, Tableau, Writing"
"Social Scientists and Related Workers, All Other",All social scientists and related workers not listed separately.,
Transportation Planners,"Prepare studies for proposed transportation projects. Gather, compile, and analyze data. Study the use and operation of transportation systems. Develop transportation models or simulations.","Active Learning, Active Listening, Adobe Acrobat, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Autodesk AutoCAD, Autodesk AutoCAD Civil 3D, Bentley MicroStation, Caliper TransCAD, Complex Problem Solving, Coordination, Critical Thinking, ESRI ArcGIS software, IBM SPSS Statistics, Judgment and Decision Making, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft Power BI, Microsoft PowerPoint, Microsoft Project, Microsoft Visual Basic, Microsoft Word, Oracle Primavera Enterprise Project Portfolio Management, Python, Reading Comprehension, SAP software, SAS, Speaking, Structured query language SQL, Systems Analysis, Systems Evaluation, Tableau, Writing"
Agricultural Technicians,"Work with agricultural scientists in plant, fiber, and animal research, or assist with animal breeding and nutrition. Set up or maintain laboratory equipment and collect samples from crops or animals. Prepare specimens or record data to assist scientists in biology or related life science experiments. Conduct tests and experiments to improve yield and quality of crops or to increase the resistance of plants and animals to disease or insects.","Email software, Geographic information system GIS systems, Global positioning system GPS software, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, SAP software, Statistical software, Web browser software"
Precision Agriculture Technicians,"Apply geospatial technologies, including geographic information systems (GIS) and Global Positioning System (GPS), to agricultural production or management activities, such as pest scouting, site-specific pesticide application, yield mapping, or variable-rate irrigation. May use computers to develop or analyze maps or remote sensing images to compare physical topography with data on soils, fertilizer, pests, or weather.","AGCO GTA Software Suite, Active Listening, Ag Leader Technology SMS Advanced, Critical Thinking, ESRI ArcGIS software, ESRI ArcPad, ESRI ArcView, Farm Works Site Pro, GeoAgro GIS, Geographic information system GIS systems, Global positioning system GPS software, John Deere Apex Farm Management, MapShots EASi Suite, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Windows, Microsoft Word, Novariant AutoFarm AF Viewer, Reading Comprehension, SST Development Group SSToolbox, Speaking, Trimble AgGPS EZ-Map, Trimble AgGPS MultiPlane, Web browser software, Writing"
Food Science Technicians,"Work with food scientists or technologists to perform standardized qualitative and quantitative tests to determine physical or chemical properties of food or beverage products. Includes technicians who assist in research and development of production technology, quality control, packaging, processing, and use of foods.","Active Listening, Apache JMeter, Apache Struts, Database software, Graphical user interface GUI design software, Graphics software, IBM Lotus Notes, IBM WebSphere, Linux, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft SQL Server, Microsoft Visio, Microsoft Word, Oracle WebLogic Server, Reading Comprehension, Red Hat WildFly, SAP software, SAS, Speaking, Structure query language SQL, Writing"
Biological Technicians,"Assist biological and medical scientists. Set up, operate, and maintain laboratory instruments and equipment, monitor experiments, collect data and samples, make observations, and calculate and record results. May analyze organic substances, such as blood, food, and drugs.","Active Learning, Active Listening, Adobe Acrobat, Adobe Photoshop, BD Biosciences CellQuest, BoxShade, ClustalW, Corel WordPerfect Office Suite, Critical Thinking, Database software, ESRI ArcGIS software, Gene Codes Sequencher, Gene Runner, Geographic information system GIS software, Graphics software, Harvard Graphics, IBM Lotus 1-2-3, Laboratory information management system LIMS, MapInfo MapMarker, Microsoft .NET Framework, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft Word, Reading Comprehension, SAS, Science"
Chemical Technicians,"Conduct chemical and physical laboratory tests to assist scientists in making qualitative and quantitative analyses of solids, liquids, and gaseous materials for research and development of new products or processes, quality control, maintenance of environmental standards, and other work involving experimental, theoretical, or practical application of chemistry and related sciences.","Active Listening, C++, Critical Thinking, Database software, Email software, Laboratory information management system LIMS, Linux, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, Monitoring, Oracle Database, Oracle Java, Python, R, Reading Comprehension, SAP software, Science, Software development tools, Structured query language SQL, Writing"
"Environmental Science and Protection Technicians, Including Health","Perform laboratory and field tests to monitor the environment and investigate sources of pollution, including those that affect health, under the direction of an environmental scientist, engineer, or other specialist. May collect samples of gases, soil, water, and other materials for testing.","Active Listening, Adobe Acrobat, Autodesk AutoCAD, Autodesk Softdesk, Critical Thinking, Database software, ESRI ArcGIS software, ESRI ArcInfo, ESRI ArcPad, ESRI ArcView, ESRI software, Email software, FishXing, Flood modeling software, Geomechanical design analysis GDA software, Graphics software, HEC-HMS, HEC-RAS, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft Word, Reading Comprehension, SAP software, Scientific analysis software, Speaking, Writing"
"Geological Technicians, Except Hydrologic Technicians","Assist scientists or engineers in the use of electronic, sonic, or nuclear measuring instruments in laboratory, exploration, and production activities to obtain data indicating resources such as metallic ore, minerals, gas, coal, or petroleum. Analyze mud and drill cuttings. Chart pressure, temperature, and other characteristics of wells or bore holes.","Adobe Illustrator, Autodesk AutoCAD, Clark Labs IDRISI Andes, Corel CorelDraw Graphics Suite, Critical Thinking, Database software, Dynamic Graphics EarthVision, ESRI ArcGIS software, Geographic information system GIS software, Geographic information system GIS systems, Geographic resources analysis support system GRASS, Global positioning system GPS software, Golden Software Surfer, Halliburton ProMAX, IHS Petra, Inventory management systems, Juniper Systems LandMark Mobile, Landmark Graphics GeoGraphix, Landmark SeisWorks, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, Reading Comprehension, SAP software"
Hydrologic Technicians,"Collect and organize data concerning the distribution and circulation of ground and surface water, and data on its physical, chemical, and biological properties. Measure and report on flow rates and ground water levels, maintain field equipment, collect water samples, install and collect sampling equipment, and process samples for shipment to testing laboratories. May collect data on behalf of hydrologists, engineers, developers, government agencies, or agriculture.","Adobe Acrobat, Datasurge GEOPRO, Delft GeoSystems MStab, ESRI ArcGIS software, ESRI ArcInfo, ESRI ArcView, Email software, GEO-SLOPE SEEP/W, Geographic information system GIS software, Geographic information system GIS systems, Microsoft Access, Microsoft Active Server Pages ASP, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Windows, Microsoft Word, Mitre Software GSLOPE, Salix Applied Earthcare Erosion Draw, State Soil Geographic STATSGO Database"
Nuclear Technicians,"Assist nuclear physicists, nuclear engineers, or other scientists in laboratory, power generation, or electricity production activities. May operate, maintain, or provide quality control for nuclear testing and research equipment. May monitor radiation.","Active Listening, Critical Thinking, Data logging software, Database software, Linux, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Microsoft Windows, Microsoft Word, Monitoring, Operations Monitoring, Quality Control Analysis, Reading Comprehension, Structured query language SQL, Supervisory control and data acquisition SCADA software, VMWare ESX Server, VMware"
Nuclear Monitoring Technicians,"Collect and test samples to monitor results of nuclear experiments and contamination of humans, facilities, and environment.","AVEVA InTouch HMI, Active Listening, Connectivity software, Critical Thinking, Gamma waste assay system GWAS, Google Compute Engine (GCE), Microsoft Azure software, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Windows, Microsoft Windows Server, Microsoft Word, Monitoring, Operations Monitoring, Oracle Java, RESRAD, Radiological assessment display and control system RADACS, Reading Comprehension, Speaking, Structured query language SQL, Supervisory control and data acquisition SCADA software"
Social Science Research Assistants,"Assist social scientists in laboratory, survey, and other social science research. May help prepare findings for publication and assist in laboratory analysis, quality control, or data management.","Active Listening, Adobe Illustrator, Adobe InDesign, Appletree, C++, Critical Thinking, Database software, ESRI ArcGIS software, Extensible markup language XML, IBM SPSS Statistics, JavaScript, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft SQL Server, Microsoft Visual Basic, Microsoft Word, Oracle Java, Perl, Python, R, Reading Comprehension, SAS, Structured query language SQL, Tableau, The MathWorks MATLAB, Writing"
Forest and Conservation Technicians,"Provide technical assistance regarding the conservation of soil, water, forests, or related natural resources. May compile data pertaining to size, content, condition, and other characteristics of forest tracts under the direction of foresters, or train and lead forest workers in forest propagation and fire prevention and suppression. May assist conservation scientists in managing, improving, and protecting rangelands and wildlife habitats.","Active Listening, Allegro Landmark, Assisi Compiler, Assisi Forest, Assisi Inventory, Atterbury Consultants SuperAce, Autodesk AutoCAD LT, Ben Meadows Yeoman Expedition, Computer graphics software, Corel Presentation, Critical Thinking, Database software, ESRI ArcGIS software, ESRI ArcView, Facebook, Fire behavior modeling software, Forest EcoSurvey, Geographic information system GIS systems, Geomechanical design analysis GDA software, Haglof Sweden AB TCruise Forest Inventory, Microsoft Access, Microsoft Active Server Pages ASP, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word"
